Title,Price,Product-SKU,Product-Barcode,Colors,Sizes,URL
,Rs.790,0100388,MBTS24EX007,"Rust,Orange,Beige,Navy,H-Grey,Black,Pistachio,Stone,Red,White,Charcoal","S,M,L,XL",https://zellbury.com/collections/men-basic-t-shirt/products/basic-t-shirt-cvc-relax?variant=43333291933743
,"Rs.2,990",0118603,MJP25004,Olive,"S,M,L,XL",https://zellbury.com/products/popknit-jogger-pant-mjp25004-olive
,"Rs.3,490",0135166,MPC25001,Olive,"30,32,34,36,38,40",https://zellbury.com/products/cargo-pant-mpc25001-olive
,"Rs.2,290",0134812,MFSS25001,Grey/White,"15,15.5,16,16.5,17",https://zellbury.com/products/formal-shirt-mfss25001
,"Rs.2,190",0090311,MCS221005,Red/White,"S,M,L,XL",https://zellbury.com/products/casual-shirts-1005
,"Rs.2,290",0132092,MCSLH2503,Brown,"S,M,L,XL",https://zellbury.com/products/linen-shirts-mcslh2503
,"Rs.2,490",0131640,MPLGS25002,Navy,"S,M,L,XL",https://zellbury.com/products/johnny-collar-polo-mplgs25002-navy
,"Rs.1,490",0099820,MP24S040,Black,"S,M,L,XL",https://zellbury.com/products/signature-polo-shirt-s040
,"Rs.1,390",0122480,MPSCT25001,White,"S,M,L,XL",https://zellbury.com/products/polo-shirt-mpsct25001-white
,"Rs.1,190",0131743,MPLB25E001,Stone,"S,M,L,XL",https://zellbury.com/products/basic-polo-mplb25e001-stone
,"Rs.1,690",0131668,MTLGS25005,Sky Blue,"S,M,L,XL",https://zellbury.com/products/textured-t-shirt-mtlgs25005
,"Rs.1,190",0134380,MGT25X325,Blue,"S,M,L,XL",https://zellbury.com/products/graphic-t-shirt-mgt25x325
,"Rs.1,090",0134192,MGT25R329,Blue,"S,M,L,XL",https://zellbury.com/products/graphic-t-shirt-mgt25r329
,"Rs.3,290",0117573,MWC24008,,"S,M,L,XL",https://zellbury.com/products/waist-coat-4008
,"Rs.2,690",0127914,MKJ25002,Teal,"S,M,L,XL",https://zellbury.com/products/wash-wear-kurta-mkj25002
,"Rs.4,990",0135880,MSKMS252698,Indigo,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskms252698
,"Rs.2,690",0127527,GPS252245,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-trouser-gps252245
,"Rs.2,890",0127064,GPS252209,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-trouser-gps252209
,"Rs.3,290",0127071,GPS253197,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-dupatta-trouser-gps253197
,"Rs.2,690",0127099,GPS252232,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-trouser-gps252232
,"Rs.1,690",0131496,GPS251172,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-gps251172
,"Rs.1,290",0127457,GPS251247,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-gps251247
,"Rs.1,690",0127288,GPS251211,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-gps251211
,"Rs.1,290",0121174,GPS251116,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-gps251116
,"Rs.1,690",0127211,GPS251223,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-gps251223
,"Rs.1,890",0127485,GPS251239,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-gps251239
,"Rs.2,490",0127520,GPS252259,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-trouser-gps252259
,"Rs.2,890",0127141,GPS252200,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-trouser-gps252200
,"Rs.1,890",0127218,GPS251179,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-gps251179
,"Rs.1,690",0131524,GPS251176,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-gps251176
,"Rs.2,490",0136546,GPC252404,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-trouser-gpc252404
,"Rs.2,490",0136539,GPC252403,,"7-Y,8-Y,9-Y,10-Y,11-Y,12-Y",https://zellbury.com/products/kurta-trouser-gpc252403
